waterK,seed,exterior_water_fraction,interior_water_fraction,shoreline_fraction,largest_exterior_shore_to_area,n_interior_bodies,n_exterior_bodies,guard_exterior_water_fail,guard_a_fail,guard_b_fail,invalid_substrate
0.6,7,0.0083,0.0,0.001815065039830594,0.21686746987951808,0,1,0,0,0,0
0.6,1001,0.0115,0.0074,0.007542554275812863,0.2616822429906542,1,3,0,0,0,0
0.6,13,0.0125,0.0556,0.023500375576778625,0.25773195876288657,5,2,0,0,0,0
0.6,99,0.0243,0.0015,0.009033052761239991,0.242152466367713,3,2,0,0,0,0
0.65,42,0.08,0.0875,0.07807807807807808,0.27676240208877284,17,6,0,0,0,0
0.65,7,0.0099,0.0005,0.0032336297493936943,0.1958762886597938,1,2,0,0,0,0
0.65,1001,0.0137,0.0095,0.01033988533988534,0.2396694214876033,5,2,0,0,0,0
0.65,13,0.0154,0.0711,0.028133552271483307,0.19298245614035087,7,3,0,0,0,0
0.65,99,0.0287,0.0054,0.012941298271042552,0.21235521235521235,5,3,0,0,0,0
0.7,42,0.0963,0.121,0.09428899961671139,0.2697095435684647,17,5,0,0,0,0
0.7,7,0.0126,0.0023,0.0065983148918891486,0.17857142857142858,4,2,0,0,0,0
0.7,1001,0.017,0.0148,0.013633546787853749,0.2302158273381295,6,3,0,0,0,0
0.7,13,0.0185,0.0904,0.03512512624845696,0.18604651162790697,8,3,0,0,0,0
0.7,99,0.0368,0.0117,0.017551234892275353,0.2080745341614907,4,3,0,0,0,0
0.75,42,0.1154,0.1577,0.10978126289723483,0.19294117647058823,14,4,0,0,0,0
0.75,7,0.0165,0.0066,0.009212816050772853,0.168,3,3,0,0,0,0
0.75,1001,0.0256,0.0128,0.014663061564059901,0.25118483412322273,3,3,0,0,0,0
0.75,13,0.0977,0.0416,0.043220634367375395,0.20464601769911506,10,4,0,0,0,0
0.75,99,0.0442,0.0182,0.020904436860068258,0.20320855614973263,5,3,0,0,0,0
0.8,42,0.2207,0.121,0.11651222846726417,0.175561797752809,7,4,1,0,0,1
0.8,7,0.0303,0.002,0.010850470187041439,0.20512820512820512,2,3,0,0,0,0
0.8,1001,0.031,0.016,0.017733473242392446,0.1836734693877551,6,4,0,0,0,0
0.8,13,0.1274,0.0468,0.04771131024461129,0.18095238095238095,5,4,1,0,0,1
0.8,99,0.0509,0.0278,0.02702702702702703,0.17257683215130024,8,4,0,0,0,0
0.85,42,0.3944,0.0045,0.11695225420063217,0.16104575163398693,6,4,1,0,0,1
0.85,7,0.0381,0.0051,0.015259197324414716,0.16666666666666666,5,5,0,0,0,0
0.85,1001,0.0388,0.0216,0.023094934014474246,0.15555555555555556,5,4,0,0,0,0
